Datetime,PJME_MW,original_value,cleaned_value
2019-03-03 03:00:00,20683,20683,18470.5
2019-03-03 04:00:00,20554,20554,18470.5
2019-04-20 04:00:00,28592,28592,23356.5
2019-05-12 04:00:00,25782,25782,20939.5
2019-05-27 04:00:00,22890,22890,18886.0
2020-04-19 03:00:00,22440,22440,18395.0
2020-04-19 04:00:00,22982,22982,18336.0
2020-05-15 04:00:00,26509,26509,21344.0
2020-06-06 04:00:00,26936,26936,24377.0
2021-05-01 03:00:00,29802,29802,24094.5
2021-05-01 04:00:00,29437,29437,24094.5
2022-05-07 02:00:00,27269,27269,23114.5
2022-05-07 03:00:00,27656,27656,23114.5
2022-05-07 04:00:00,27977,27977,23000.0
2022-05-07 05:00:00,27279,27279,22849.5
