feature,importance
lag_1,0.9523190994267006
hour_sin,0.01318550139980754
lag_24,0.01036048784439849
lag_2,0.006108381395629538
lag_3,0.005076612277046928
hour,0.0032722791981703997
lag_168,0.0027649613131151764
hour_cos,0.0020493757221300883
rolling_mean_6,0.001384433094617692
rolling_mean_24,0.0007981812241608055
rolling_std_24,0.0005729866348878573
rolling_std_168,0.00039425302221991775
dayofyear,0.00034663334074038626
rolling_mean_168,0.00031497369359360873
lag_72,0.0002504931140476139
lag_48,0.0001943635457179847
month_cos,0.00018066034240939874
dayofweek,0.00011941624391398756
dayofweek_sin,0.00011585008393071256
month_sin,5.365322692059664e-05
is_weekend,5.200553158792934e-05
dayofweek_cos,4.0486800685762394e-05
month,3.2867369109666154e-05
quarter,1.2044154457262778e-05
